symbol,underlying_symbol,strike,expiration_date,contract_type,implied_volatility,open_interest,volume,bid,ask,last_price,market_price,underlying_price,risk_free_rate,fetch_timestamp,time_to_expiry,data_source,simulated_trade_date
SPY20250825C00530000,SPY,530.0,2025-08-25,call,0.84179845703125,11.0,11.0,113.98,116.78,106.25,115.38,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.712793,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00550000,SPY,550.0,2025-08-25,call,0.70312796875,2.0,2.0,93.98,96.79,96.12,95.385,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.712793,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00570000,SPY,570.0,2025-08-25,call,0.5654340332031251,2.0,240.0,73.99,76.79,75.03,75.39,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.712793,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00580000,SPY,580.0,2025-08-25,call,0.813478427734375,3.0,233.0,63.99,66.8,66.14,65.395,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.712793,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00590000,SPY,590.0,2025-08-25,call,0.710940390625,1.0,284.0,53.99,56.8,55.93,55.394999999999996,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.713785,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00600000,SPY,600.0,2025-08-25,call,0.5493209130859377,21.0,15.0,44.0,46.3,45.0,45.15,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.713785,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00605000,SPY,605.0,2025-08-25,call,0.5562788513183594,5.0,8.0,39.0,41.81,40.41,40.405,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.713785,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00608000,SPY,608.0,2025-08-25,call,0.5236864038085938,3.0,1.0,36.0,38.8,36.11,37.4,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.714803,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00609000,SPY,609.0,2025-08-25,call,0.5129443237304687,43.0,36.0,35.0,37.8,36.21,36.4,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.714803,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00610000,SPY,610.0,2025-08-25,call,0.5024463818359376,33.0,14.0,34.0,36.8,35.32,35.4,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.714803,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00612000,SPY,612.0,2025-08-25,call,0.4819387744140625,6.0,2.0,32.0,34.81,23.13,33.405,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.714803,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00614000,SPY,614.0,2025-08-25,call,0.4594780615234375,16.0,6.0,30.0,32.8,31.15,31.4,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715784,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00615000,SPY,615.0,2025-08-25,call,0.4495904650878906,13.0,25.0,29.0,31.81,30.13,30.405,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00618000,SPY,618.0,2025-08-25,call,0.4100400793457031,11.0,2.0,26.02,28.73,27.08,27.375,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00619000,SPY,619.0,2025-08-25,call,0.4000304138183594,12.0,45.0,25.03,27.74,26.38,26.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00620000,SPY,620.0,2025-08-25,call,0.3890441955566406,46.0,368.0,24.03,26.74,25.38,25.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00621000,SPY,621.0,2025-08-25,call,0.37805797729492185,12.0,115.0,23.03,25.74,24.35,24.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00622000,SPY,622.0,2025-08-25,call,0.36694968994140625,9.0,13.0,22.03,24.74,23.69,23.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00623000,SPY,623.0,2025-08-25,call,0.35584140258789054,44.0,1.0,21.03,23.74,23.19,22.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00624000,SPY,624.0,2025-08-25,call,0.3446110461425781,58.0,14.0,20.03,22.74,21.27,21.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00625000,SPY,625.0,2025-08-25,call,0.33338068969726564,252.0,265.0,19.03,21.74,20.32,20.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00626000,SPY,626.0,2025-08-25,call,0.3220282641601562,18.0,56.0,18.03,20.74,19.34,19.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00627000,SPY,627.0,2025-08-25,call,0.31055376953124997,61.0,54.0,17.03,19.74,18.51,18.384999999999998,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00628000,SPY,628.0,2025-08-25,call,0.2990792749023437,32.0,66.0,16.04,18.74,16.84,17.39,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00629000,SPY,629.0,2025-08-25,call,0.2880930566406249,47.0,48.0,15.04,17.75,16.35,16.395,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00630000,SPY,630.0,2025-08-25,call,0.15479360839843753,188.0,476.0,15.35,15.47,15.37,15.41,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00631000,SPY,631.0,2025-08-25,call,0.14991084472656252,118.0,406.0,14.36,14.49,13.84,14.425,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.715843,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00632000,SPY,632.0,2025-08-25,call,0.1430749755859375,109.0,137.0,13.36,13.5,13.46,13.43,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.718780,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00633000,SPY,633.0,2025-08-25,call,0.132821171875,196.0,275.0,12.37,12.49,12.36,12.43,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.718910,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
SPY20250825C00634000,SPY,634.0,2025-08-25,call,0.12427633544921876,1199.0,1912.0,11.38,11.49,11.61,11.435,645.3099975585938,0.04087999820709229,2025-08-23 16:39:40.718910,0.0027397260273972603,yahoo_finance,2025-08-22 16:39:41.671421
